추첨일,Num1,Num2,Num3,Num4,Num5,Num6,bnsNum
2002-12-07,10.0,23.0,29.0,33.0,37.0,40.0,16.0
2002-12-14,9.0,13.0,21.0,25.0,32.0,42.0,2.0
2002-12-21,11.0,16.0,19.0,21.0,27.0,31.0,30.0
2002-12-28,14.0,27.0,30.0,31.0,40.0,42.0,2.0
2003-01-04,16.0,24.0,29.0,40.0,41.0,42.0,3.0
2003-01-11,14.0,15.0,26.0,27.0,40.0,42.0,34.0
2003-01-18,2.0,9.0,16.0,25.0,26.0,40.0,42.0
2003-01-25,8.0,19.0,25.0,34.0,37.0,39.0,9.0
2003-02-01,2.0,4.0,16.0,17.0,36.0,39.0,14.0
2003-02-08,9.0,25.0,30.0,33.0,41.0,44.0,6.0
2003-02-15,1.0,7.0,36.0,37.0,41.0,42.0,14.0
2003-02-22,2.0,11.0,21.0,25.0,39.0,45.0,44.0
2003-03-01,22.0,23.0,25.0,37.0,38.0,42.0,26.0
2003-03-08,2.0,6.0,12.0,31.0,33.0,40.0,15.0
2003-03-15,3.0,4.0,16.0,30.0,31.0,37.0,13.0
2003-03-22,6.0,7.0,24.0,37.0,38.0,40.0,33.0
2003-03-29,3.0,4.0,9.0,17.0,32.0,37.0,1.0
2003-04-05,3.0,12.0,13.0,19.0,32.0,35.0,29.0
2003-04-12,6.0,30.0,38.0,39.0,40.0,43.0,26.0
2003-04-19,10.0,14.0,18.0,20.0,23.0,30.0,41.0
2003-04-26,6.0,12.0,17.0,18.0,31.0,32.0,21.0
2003-05-03,4.0,5.0,6.0,8.0,17.0,39.0,25.0
2003-05-10,5.0,13.0,17.0,18.0,33.0,42.0,44.0
2003-05-17,7.0,8.0,27.0,29.0,36.0,43.0,6.0
2003-05-24,2.0,4.0,21.0,26.0,43.0,44.0,16.0
2003-05-31,4.0,5.0,7.0,18.0,20.0,25.0,31.0
2003-06-07,1.0,20.0,26.0,28.0,37.0,43.0,27.0
2003-06-14,9.0,18.0,23.0,25.0,35.0,37.0,1.0
2003-06-21,1.0,5.0,13.0,34.0,39.0,40.0,11.0
2003-06-28,8.0,17.0,20.0,35.0,36.0,44.0,4.0
2003-07-05,7.0,9.0,18.0,23.0,28.0,35.0,32.0
2003-07-12,6.0,14.0,19.0,25.0,34.0,44.0,11.0
2003-07-19,4.0,7.0,32.0,33.0,40.0,41.0,9.0
2003-07-26,9.0,26.0,35.0,37.0,40.0,42.0,2.0
2003-08-02,2.0,3.0,11.0,26.0,37.0,43.0,39.0
2003-08-09,1.0,10.0,23.0,26.0,28.0,40.0,31.0
2003-08-16,7.0,27.0,30.0,33.0,35.0,37.0,42.0
2003-08-23,16.0,17.0,22.0,30.0,37.0,43.0,36.0
2003-08-30,6.0,7.0,13.0,15.0,21.0,43.0,8.0
2003-09-06,7.0,13.0,18.0,19.0,25.0,26.0,6.0
2003-09-13,13.0,20.0,23.0,35.0,38.0,43.0,34.0
2003-09-20,17.0,18.0,19.0,21.0,23.0,32.0,1.0
2003-09-27,6.0,31.0,35.0,38.0,39.0,44.0,1.0
2003-10-04,3.0,11.0,21.0,30.0,38.0,45.0,39.0
2003-10-11,1.0,10.0,20.0,27.0,33.0,35.0,17.0
2003-10-18,8.0,13.0,15.0,23.0,31.0,38.0,39.0
2003-10-25,14.0,17.0,26.0,31.0,36.0,45.0,27.0
2003-11-01,6.0,10.0,18.0,26.0,37.0,38.0,3.0
2003-11-08,4.0,7.0,16.0,19.0,33.0,40.0,30.0
2003-11-15,2.0,10.0,12.0,15.0,22.0,44.0,1.0
2003-11-22,2.0,3.0,11.0,16.0,26.0,44.0,35.0
2003-11-29,2.0,4.0,15.0,16.0,20.0,29.0,1.0
2003-12-06,7.0,8.0,14.0,32.0,33.0,39.0,42.0
2003-12-13,1.0,8.0,21.0,27.0,36.0,39.0,37.0
2003-12-20,17.0,21.0,31.0,37.0,40.0,44.0,7.0
2003-12-27,10.0,14.0,30.0,31.0,33.0,37.0,19.0
2004-01-03,7.0,10.0,16.0,25.0,29.0,44.0,6.0
2004-01-10,10.0,24.0,25.0,33.0,40.0,44.0,1.0
2004-01-17,6.0,29.0,36.0,39.0,41.0,45.0,13.0
2004-01-24,2.0,8.0,25.0,36.0,39.0,42.0,11.0
2004-01-31,14.0,15.0,19.0,30.0,38.0,43.0,8.0
2004-02-07,3.0,8.0,15.0,27.0,29.0,35.0,21.0
2004-02-14,3.0,20.0,23.0,36.0,38.0,40.0,5.0
2004-02-21,14.0,15.0,18.0,21.0,26.0,36.0,39.0
2004-02-28,4.0,25.0,33.0,36.0,40.0,43.0,39.0
2004-03-06,2.0,3.0,7.0,17.0,22.0,24.0,45.0
2004-03-13,3.0,7.0,10.0,15.0,36.0,38.0,33.0
2004-03-20,10.0,12.0,15.0,16.0,26.0,39.0,38.0
2004-03-27,5.0,8.0,14.0,15.0,19.0,39.0,35.0
2004-04-03,5.0,19.0,22.0,25.0,28.0,43.0,26.0
2004-04-10,5.0,9.0,12.0,16.0,29.0,41.0,21.0
2004-04-17,2.0,4.0,11.0,17.0,26.0,27.0,1.0
2004-04-24,3.0,12.0,18.0,32.0,40.0,43.0,38.0
2004-05-01,6.0,15.0,17.0,18.0,35.0,40.0,23.0
2004-05-08,2.0,5.0,24.0,32.0,34.0,44.0,28.0
2004-05-15,1.0,3.0,15.0,22.0,25.0,37.0,43.0
2004-05-22,2.0,18.0,29.0,32.0,43.0,44.0,37.0
2004-05-29,10.0,13.0,25.0,29.0,33.0,35.0,38.0
2004-06-05,3.0,12.0,24.0,27.0,30.0,32.0,14.0
2004-06-12,17.0,18.0,24.0,25.0,26.0,30.0,1.0
2004-06-19,5.0,7.0,11.0,13.0,20.0,33.0,6.0
2004-06-26,1.0,2.0,3.0,14.0,27.0,42.0,39.0
2004-07-03,6.0,10.0,15.0,17.0,19.0,34.0,14.0
2004-07-10,16.0,23.0,27.0,34.0,42.0,45.0,11.0
2004-07-17,6.0,8.0,13.0,23.0,31.0,36.0,21.0
2004-07-24,2.0,12.0,37.0,39.0,41.0,45.0,33.0
2004-07-31,4.0,12.0,16.0,23.0,34.0,43.0,26.0
2004-08-07,1.0,17.0,20.0,24.0,30.0,41.0,27.0
2004-08-14,4.0,26.0,28.0,29.0,33.0,40.0,37.0
2004-08-21,17.0,20.0,29.0,35.0,38.0,44.0,10.0
2004-08-28,1.0,21.0,24.0,26.0,29.0,42.0,27.0
2004-09-04,3.0,14.0,24.0,33.0,35.0,36.0,17.0
2004-09-11,6.0,22.0,24.0,36.0,38.0,44.0,19.0
2004-09-18,5.0,32.0,34.0,40.0,41.0,45.0,6.0
2004-09-25,8.0,17.0,27.0,31.0,34.0,43.0,14.0
2004-10-02,1.0,3.0,8.0,21.0,22.0,31.0,20.0
2004-10-09,6.0,7.0,14.0,15.0,20.0,36.0,3.0
2004-10-16,6.0,9.0,16.0,23.0,24.0,32.0,43.0
2004-10-23,1.0,3.0,10.0,27.0,29.0,37.0,11.0
2004-10-30,1.0,7.0,11.0,23.0,37.0,42.0,6.0
2004-11-06,1.0,3.0,17.0,32.0,35.0,45.0,8.0
2004-11-13,17.0,22.0,24.0,26.0,35.0,40.0,42.0
2004-11-20,5.0,14.0,15.0,27.0,30.0,45.0,10.0
2004-11-27,17.0,32.0,33.0,34.0,42.0,44.0,35.0
2004-12-04,8.0,10.0,20.0,34.0,41.0,45.0,28.0
2004-12-11,4.0,10.0,12.0,22.0,24.0,33.0,29.0
2004-12-18,1.0,4.0,5.0,6.0,9.0,31.0,17.0
2004-12-25,7.0,18.0,22.0,23.0,29.0,44.0,12.0
2005-01-01,1.0,5.0,34.0,36.0,42.0,44.0,33.0
2005-01-08,7.0,20.0,22.0,23.0,29.0,43.0,1.0
2005-01-15,7.0,18.0,31.0,33.0,36.0,40.0,27.0
2005-01-22,26.0,29.0,30.0,33.0,41.0,42.0,43.0
2005-01-29,4.0,9.0,28.0,33.0,36.0,45.0,26.0
2005-02-05,11.0,14.0,19.0,26.0,28.0,41.0,2.0
2005-02-12,1.0,2.0,6.0,9.0,25.0,28.0,31.0
2005-02-19,2.0,4.0,25.0,31.0,34.0,37.0,17.0
2005-02-26,5.0,10.0,22.0,34.0,36.0,44.0,35.0
2005-03-05,3.0,4.0,10.0,17.0,19.0,22.0,38.0
2005-03-12,3.0,11.0,13.0,14.0,17.0,21.0,38.0
2005-03-19,4.0,6.0,10.0,11.0,32.0,37.0,30.0
2005-03-26,12.0,28.0,30.0,34.0,38.0,43.0,9.0
2005-04-02,1.0,11.0,16.0,17.0,36.0,40.0,8.0
2005-04-09,7.0,17.0,18.0,28.0,30.0,45.0,27.0
2005-04-16,4.0,16.0,23.0,25.0,29.0,42.0,1.0
2005-04-23,2.0,8.0,32.0,33.0,35.0,36.0,18.0
2005-04-30,7.0,20.0,22.0,27.0,40.0,43.0,1.0
2005-05-07,3.0,5.0,10.0,29.0,32.0,43.0,35.0
2005-05-14,12.0,30.0,34.0,36.0,37.0,45.0,39.0
2005-05-21,19.0,23.0,25.0,28.0,38.0,42.0,17.0
2005-05-28,7.0,19.0,24.0,27.0,42.0,45.0,31.0
2005-06-04,8.0,10.0,11.0,14.0,15.0,21.0,37.0
2005-06-11,3.0,17.0,23.0,34.0,41.0,45.0,43.0
2005-06-18,4.0,7.0,15.0,18.0,23.0,26.0,13.0
2005-06-25,3.0,12.0,20.0,23.0,31.0,35.0,43.0
2005-07-02,6.0,14.0,22.0,28.0,35.0,39.0,16.0
2005-07-09,2.0,16.0,30.0,36.0,41.0,42.0,11.0
2005-07-16,7.0,9.0,20.0,25.0,36.0,39.0,15.0
2005-07-23,10.0,11.0,27.0,28.0,37.0,39.0,19.0
2005-07-30,9.0,11.0,15.0,20.0,28.0,43.0,13.0
2005-08-06,3.0,13.0,17.0,18.0,19.0,28.0,8.0
2005-08-13,8.0,12.0,29.0,31.0,42.0,43.0,2.0
2005-08-20,12.0,16.0,30.0,34.0,40.0,44.0,19.0
2005-08-27,26.0,27.0,28.0,42.0,43.0,45.0,8.0
2005-09-03,4.0,15.0,17.0,26.0,36.0,37.0,43.0
